"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
69,"NCT03478462","Dose Escalation Study of CLR 131 in Children and Adolescents With Relapsed or Refractory Malignant Brain Cancer, Neuroblastoma, Rhabdomyosarcoma, Ewings Sarcoma, and Osteosarcoma",,"Not yet recruiting","No Results Available","Pediatric Solid Tumor|Pediatric Lymphoma|Pediatric Brain Tumor","Drug: CLR 131","Number of participants with dose limiting toxicities (DLT)|Determination of therapeutic activity of CLR 131 in children and adolescents","Cellectar Biosciences, Inc.","All","2 Years to 21 Years   (Child, Adult)","Phase 1","30","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","DCL-17-001","July 2018","September 2020","December 2020","March 27, 2018","null","March 27, 2018","University of Wisconsin Hospital and Clinics, Madison, Wisconsin, United States","","https://ClinicalTrials.gov/show/NCT03478462"
70,"NCT02843230","Monitoring Anti-angiogenic Therapy in Brain Tumors by Advanced MRI",,"Recruiting","No Results Available","Glioblastoma","Radiation: Avastin|Radiation: Lomustine|Radiation: Temozolomide|Device: MRI|Device: MRS|Device: DSC","Progression Free Survival For Patients Receiving Advanced MRI and MRS|Overall Survival For Patients Receiving Advanced MRI and MRS|Progression Free Survival For Patient Receiving Dynamic Susceptibility Contrast|Overall Survival Rate For Patient Receiving Dynamic Susceptibility Contrast","Massachusetts General Hospital","All","18 Years and older   (Adult, Older Adult)","","85","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","16-147","August 1, 2016","August 31, 2019","August 31, 2021","July 25, 2016","null","June 18, 2018","Massachusetts general Hospital, Boston, Massachusetts, United States","","https://ClinicalTrials.gov/show/NCT02843230"
71,"NCT02334722","1 Week Versus 6 Weeks of Levetiracetam in Surgical Brain Tumor Patients",,"Recruiting","No Results Available","Brain Neoplasms|Brain Cancer|Brain Tumors|Cancer of the Brain|Cancer of Brain|Seizure","Drug: Levetiracetam extended release","Difference in Neurotoxicity Scale scores","University of Florida","All","18 Years and older   (Adult, Older Adult)","Phase 4","82","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB201400876","August 2015","March 2020","September 2020","January 8, 2015","null","July 6, 2018","University of Florida, Gainesville, Florida, United States","","https://ClinicalTrials.gov/show/NCT02334722"
72,"NCT01767415","Intra-operative Use of Indigo Carmine Dye for the Delineation of Ill Defined Tumor Borders Using Stereotactic Injection",,"Recruiting","No Results Available","Brain Tumors With Ill-defined Margins","Drug: Indigo carmine","Extent of Resection|Absence of complications after injection","Weill Medical College of Cornell University","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1|Phase 2","30","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1106011772","March 2012","September 2018","December 2018","January 14, 2013","null","January 30, 2018","Weill Cornell Medical College Department of Neurological Surgery, New York, New York, United States","","https://ClinicalTrials.gov/show/NCT01767415"
73,"NCT02066220","International Society of Paediatric Oncology (SIOP) PNET 5 Medulloblastoma",,"Recruiting","No Results Available","Brain Tumors","Radiation: Radiotherapy without Carboplatin|Drug: Reduced-intensity maintenance chemotherapy|Radiation: Radiotherapy with Carboplatin|Drug: Maintenance chemotherapy","3-year Event-Free Survival (EFS)|Overall survival|Pattern of relapse|Late effects of therapy on endocrine function|Late effects of therapy on audiology|Late effects of therapy on neurology|Late effects of therapy on quality of survival|Progression-free survival|Feasibility of carboplatin treatment|Residual tumor|Leukoencephalopathy grading","Universitätsklinikum Hamburg-Eppendorf|Deutsche Kinderkrebsstiftung","All","3 Years to 21 Years   (Child, Adult)","Phase 2|Phase 3","360","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SIOP PNET 5 MB|2011-004868-30","June 2014","April 2024","April 2024","February 19, 2014","null","May 8, 2017","Medical University of Graz, Graz, Austria|University Hospital Gasthuisberg, Leuven, Belgium|University Hospital Brno, Brno, Czechia|Rigshospitalet, Copenhagen, Denmark|CHU de Grenoble, Grenoble, France|Institute Curie, Paris Cedex 05, France|CHU-TOURS - Hôpital Clocheville, Tours, France|Hôpital NANCY-BRABOIS, Vandoeuvre Les Nancy, France|University Hospital Aachen, Aachen, Germany|Klinikum Augsburg, Augsburg, Germany|Helios Klinikum Berlin-Buch, Berlin, Germany|Charite Campus, University of Berlin, Berlin, Germany|Evangelisches Krankenhaus Bielefeld, Bielefeld, Germany|University Hospital Bonn, Bonn, Germany|Klinikum Braunschweig, Braunschweig, Germany|Klinikum Bremen-Mitte, Bremen, Germany|Klinikum Chemnitz, Chemnitz, Germany|University Hospital Cologne, Cologne, Germany|Carl-Thiem-Klinikum Cottbus, Cottbus, Germany|Vestische Kinder- und Jugendklinik, University Witten/Herdecke, Datteln, Germany|Klinikum Dortmund, Dortmund, Germany|University Hospital Dresden, Dresden, Germany|Klinikum Duisburg, Duisburg, Germany|University Hospital Düsseldorf, Düsseldorf, Germany|HELIOS Klinikum-Erfurt, Erfurt, Germany|University Hospital Erlangen, Erlangen, Germany|University Hospital Essen, Essen, Germany|University Hospital Frankfurt/Main, Frankfurt, Germany|University Hospital Freiburg, Freiburg, Germany|University Hospital Gießen and Marburg, Gießen, Germany|University Hospital Greifswald, Greifswald, Germany|University Hospital Göttingen, Göttingen, Germany|University Hospital Halle/Saale, Halle, Germany|University Medical Center Hamburg-Eppendorf, Hamburg, Germany|Medizinische Hochschule Hannover, Hannover, Germany|Angelika-Lautenschläger-Klinik, Heidelberg, Germany|Gemeinschaftskrankenhaus Herdecke, Herdecke, Germany|University Hospital Homburg/Saar, Homburg, Germany|University Hospital Jena, Jena, Germany|Städtisches Klinikum Karlsruhe, Karlsruhe, Germany|Klinikum Kassel, Kassel, Germany|UK-SH Campus Kiel, Kiel, Germany|Gemeinschaftsklinikum Koblenz-Mayen, Koblenz, Germany|HELIOS Klinikum Krefeld, Krefeld, Germany|Kliniken der Stadt Köln, Köln, Germany|University Hospital Leipzig, Leipzig, Germany|University Hospital Lübeck, Lübeck, Germany|University Hospital Magdeburg, Magdeburg, Germany|University Hospital Mainz, Mainz, Germany|University Hospital Mannheim, Mannheim, Germany|Johannes Wesling Klinikum Minden, Minden, Germany|University Hospital München, Dr. von Haunersches Kinderspital, München, Germany|Klinikum Schwabing, Pediatric Hospital of Technical University, München, Germany|University Hospital Münster, Münster, Germany|Cnopf'sche Kinderklinik, Nürnberg, Germany|Klinikum Oldenburg, Oldenburg, Germany|University Hospital Regensburg, Regensburg, Germany|University Hospital Rostock, Rostock, Germany|Asklepios Klinik Sankt Augustin, Sankt Augustin, Germany|HELIOS-Kliniken Schwerin, Schwerin, Germany|Klinikum Stuttgart, Stuttgart, Germany|Mutterhaus der Borromäerinnen, Trier, Germany|University Hospital Tübingen, Tübingen, Germany|University Hospital Ulm, Ulm, Germany|Dr. Horst Schmidt Kliniken, Wiesbaden, Germany|Klinikum der Stadt Wolfsburg, Wolfsburg, Germany|University Hospital Würzburg, Würzburg, Germany|Our Lady's Children's Hospital, Dublin, Ireland|Fondazione IRCCS Istituto Nazionale Tumori, Milano, Italy|Erasmus Medical Centre, Rotterdam, Netherlands|Rigshospitalet, Oslo, Norway|The Children's Memorial Health Institute, Warsaw, Poland|University Hospital S.Joao, Porto, Portugal|Oncology Hospital Cruces Bilbao, Baracaldo, Spain|Barncancercentrum Drottning Silvias Barnochungdomssjukhus, Göteburg, Sweden|University Children's Hospital, Zürich, Switzerland|Great Ormond Street Hospital, London, United Kingdom","","https://ClinicalTrials.gov/show/NCT02066220"
74,"NCT01188096","A Trial of Poly-ICLC in the Management of Recurrent Pediatric Low Grade Gliomas","Poly-ICLC","Recruiting","No Results Available","Brain Tumors","Drug: Poly ICLC","overall response rate|Progression free survival|Overall survival","Donald Durden, M.D.|Emory University|University of California, San Diego","All","up to 21 Years   (Child, Adult)","Phase 2","23","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Poly ICLC|004385","August 2010","July 2019","July 2019","August 25, 2010","null","June 20, 2017","RADY Children's Hospital, San Diego, California, United States|Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01188096"
75,"NCT02193568","Light Sedation or Intubated General Anesthesia in Patients With Brain Cancer Undergoing Craniotomy",,"Recruiting","No Results Available","Adult Brain Tumor","Procedure: Arm I (light sedation)|Procedure: Arm II (intubated general anesthesia)|Other: Arm II (intubated general anesthesia)|Other: Arm I (light sedation)","Compare overall hospital length of stay for patients in each of 2 arms|Compare resource utilization between two groups|Assess the frequency of post-operative delirium|Measure patient perceptions|Track patient complications during hospital stay|Track re-admission and extended hospital stay rates","Ohio State University Comprehensive Cancer Center","All","19 Years and older   (Adult, Older Adult)","Phase 4","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care","OSU-12161|NCI-2014-01110","April 2014","August 2018","December 2018","July 17, 2014","null","September 27, 2017","Arthur G. James Cancer Hospital and Solove Research Institute at Ohio State University Medical Center, Columbus, Ohio, United States","","https://ClinicalTrials.gov/show/NCT02193568"
76,"NCT01535911","Pilot Study of a Metabolic Nutritional Therapy for the Management of Primary Brain Tumors","Ketones","Recruiting","No Results Available","Glioblastoma","Other: Energy restricted Ketogenic Diet (ERKD) (Metabolic Nutritional Therapy)","MRI imaging will be used to measure changes in brain tumor size.","Michigan State University|Sparrow Health System","All","18 Years to 90 Years   (Adult, Older Adult)","Not Applicable","12","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","11-452FS","April 2012","June 2019","June 2019","February 20, 2012","null","June 14, 2018","Michigan State University/Sparrow Hospital, East Lansing, Michigan, United States","","https://ClinicalTrials.gov/show/NCT01535911"
77,"NCT02617589","An Investigational Immuno-therapy Study of Nivolumab Compared to Temozolomide, Each Given With Radiation Therapy, for Newly-diagnosed Patients With Glioblastoma (GBM, a Malignant Brain Cancer)","CheckMate 498","Recruiting","No Results Available","Brain Cancer","Drug: Nivolumab|Drug: Temozolomide|Radiation: Radiotherapy","Overall survival (OS)|Progression free survival (PFS)|Overall survival","Bristol-Myers Squibb|Ono Pharmaceutical Co. Ltd","All","18 Years and older   (Adult, Older Adult)","Phase 3","550","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CA209-498|2015-003739-37","February 29, 2016","March 10, 2019","October 1, 2019","December 1, 2015","null","July 3, 2018","University of Alabama at Birmingham, Birmingham, Alabama, United States|St. Joseph Hospital And Medical Center, Phoenix, Arizona, United States|Cedars Sinai Medical Center, Los Angeles, California, United States|UCLA Neuro-Oncology Program, Los Angeles, California, United States|Sutter Institute For Medical Research, Sacramento, California, United States|Sharp Memorial Hospital, San Diego, California, United States|The Regents of the University of California, San Francisco, San Francisco, California, United States|Yale Cancer Center, New Haven, Connecticut, United States|Georgetown University Medical Center, Washington, District of Columbia, United States|University Of Miami Sylvester Comprehensive Cancer Center, Miami, Florida, United States|Moffitt Cancer Center, Tampa, Florida, United States|Emory University - Winship Cancer Institute, Atlanta, Georgia, United States|The University Of Chicago, Chicago, Illinois, United States|University Of Kansas Medical Center, Westwood, Kansas, United States|Norton Cancer Institute, Louisville, Kentucky, United States|Johns Hopkins University School Of Medicine, Baltimore, Maryland, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Local Institution, Boston, Massachusetts, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Henry Ford Health System, Detroit, Michigan, United States|Washington University School Of Medicine, Saint Louis, Missouri, United States|JFK Medical Center, Edison, New Jersey, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Columbia University Medical Center (Cumc), New York, New York, United States|Levine Cancer Institute, Charlotte, North Carolina, United States|Preston Robert Tisch Brain Tumor Center at Duke University, Durham, North Carolina, United States|Cleveland Clinic, Cleveland, Ohio, United States|The Ohio State University, Columbus, Ohio, United States|Local Institution, Oklahoma City, Oklahoma, United States|Lehigh Valley Health Network, Allentown, Pennsylvania, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States|Medical University Of South Carolina, Charleston, South Carolina, United States|Erlanger Oncology & Hematology - Univ. of TN, Chattanooga, Tennessee, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|University Of Texas Southwestern Medical Center, Dallas, Texas, United States|University Of Texas Md Anderson Cancer Ctr, Houston, Texas, United States|Huntsman Cancer Institute, Salt Lake City, Utah, United States|Swedish Neuroscience Institute, Seattle, Washington, United States|Local Institution, Liverpool, New South Wales, Australia|Royal North Shore Hospital, St. Leonards, New South Wales, Australia|Local Institution, Heidelberg, Victoria, Australia|Local Institution, Prahran, Victoria, Australia|Sir Charles Gairdner Hospital, Nedlands, Western Australia, Australia|Kepler Universitaetsklinikum, Linz, Austria|Medical University Of Vienna, Vienna, Austria|Universitair Ziekenhuis Brussel, Brussels, Belgium|Cliniques Universitaires Saint-Luc, Bruxelles, Belgium|Uz Leuven, Leuven, Belgium|British Columbia Cancer Agency-Vancouver Ctr, Vancouver, British Columbia, Canada|Princess Margaret Cancer Centre, Toronto, Ontario, Canada|Montreal Neurological Institute and Hospital, Montreal, Quebec, Canada|Local Institution, Copenhagen, Denmark|Local Institution, Odense, Denmark|Local Institution, Bron Cedex, France|Local Institution, Lille Cedex, France|Local Institution, Marseille, France|Local Institution, Paris cedex 13, France|Local Institution, Paris, France|Local Institution, Rennes Cedex, France|Local Institution, Toulouse, France|Local Institution, Vandoeuvre Les Nancy, France|Universitaetsklinikum Bonn, Bonn, Germany|Uniklinik Erlangen, Erlangen, Germany|Klinikum Der J. W. Goethe-Universitaet Frankfurt/Main, Frankfurt am Main, Germany|Medizinische Universitaetsklinik Freiburg, Freiburg, Germany|Universitaetsklinikum Hamburg, Hamburg, Germany|Universitaetsklinik Heidelberg, Heidelberg, Germany|Universitaetsklinik Koeln, Koeln, Germany|Universitaetsklinikum Muenster, Muenster, Germany|Klinikum rechts der Isar der Technischen Universitat Munchen, Munich, Germany|Bezirksklinikum Regensburg, Regensburg, Germany|Universitasklinikum Tubingen, Tuebingen, Germany|Local Institution, Petach Tikva, Israel|Local Institution, Tel Aviv, Israel|Local Institution, Bologna, Italy|Local Institution, Milano, Italy|Local Institution, Padova, Italy|Local Institution, Rozzano (milano), Italy|Local Institution, Siena, Italy|Azienda Ospedaliera Citta della Salute e della Scienza, Torino, Italy|Local Institution, Nagoya-shi, Aichi, Japan|Local Institution, Chiba-shi, Chiba, Japan|Local Institution, Onsen-gun, Ehime, Japan|Local Institution, Hiroshima-Shi, Hiroshima, Japan|Local Institution, Sapporo-shi, Hokkaido, Japan|Local Institution, Kobe, Hyogo, Japan|Local Institution, Tsukuba-shi, Ibaraki, Japan|Local Institution, Kanazawa-shi, Ishikawa, Japan|Local Institution, Kagoshima-shi, Kagoshima, Japan|Local Institution, Sagamihara-shi, Kanagawa, Japan|Local Institution, Kumamoto-shi, Kumamoto, Japan|Local Institution, Kyoto-shi, Kyoto, Japan|Local Institution, Kyoto-shi, Kyoto, Japan|Local Institution, Okayama-shi, Okayama, Japan|Local Institution, Hirakata-shi, Osaka, Japan|Local Institution, Suita-shi, Osaka, Japan|Local Institution, Hidaka-shi, Saitama, Japan|Local Institution, Bunkyo-ku, Tokyo, Japan|Local Institution, Chuo-ku, Tokyo, Japan|Local Institution, Mitaka-shi, Tokyo, Japan|Local Institution, Yamagata-shi, Yamagata, Japan|Local Institution, Tokyo, Japan|NKI AVL, Amsterdam, Netherlands|Universitair Medisch Centrum Groningen, Groningen, Netherlands|Erasmus Mc, Rotterdam, Netherlands|Universitair Medisch Centrum Utrecht, Utrecht, Netherlands|Local Institution, Oslo, Norway|Uniwersyteckie Centrum Kliniczne Klinika Onkologii I Radiote, Gdansk, Poland|Local Institution, Warszawa, Poland|Local Institution, Moscow, Russian Federation|Local Institution, Moscow, Russian Federation|Local Institution, Moscow, Russian Federation|Local Institution, Badalona-Barcelona, Spain|Local Institution, Barcelona, Spain|Local Institution, Barcelona, Spain|Local Institution, Madrid, Spain|Local Institution, Madrid, Spain|Local Institution, Santiago De Compostela, Spain|Local Institution, Valencia, Spain|Local Institution, Lund, Sweden|Local Institution, Solna, Sweden|University Hospital Geneva, Geneve, Switzerland|Centre hospitalier universitaire Vaudois (CHUV), Lausanne, Switzerland|Universitaetsspital Zuerich, Zuerich, Switzerland|University College Hospital, London, Greater London, United Kingdom|Christie Hospital Nhs Found. Trust, Manchester, Greater Manchester, United Kingdom|Royal Marsden Hospital, Sutton, Surrey, United Kingdom|Beaston West of Scotland Cancer Centre, Glasgow, United Kingdom","","https://ClinicalTrials.gov/show/NCT02617589"
78,"NCT02667587","An Investigational Immuno-therapy Study of Temozolomide Plus Radiation Therapy With Nivolumab or Placebo, for Newly Diagnosed Patients With Glioblastoma (GBM, a Malignant Brain Cancer)","CheckMate548","Recruiting","No Results Available","Brain Neoplasms","Drug: Nivolumab|Drug: Temozolomide|Radiation: Radiotherapy|Other: Nivolumab Placebo","Overall survival (OS) defined as time from the date of randomization to the date of death.|Progression free survival (PFS), defined as the time from randomization to the date of the first documented tumor progression or death to any cause.|Correlation of PFS and OS","Bristol-Myers Squibb|Ono Pharmaceutical Co. Ltd","All","18 Years and older   (Adult, Older Adult)","Phase 3","693","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","CA209-548|2015-004722-34","May 5, 2016","February 11, 2022","August 1, 2023","January 29, 2016","null","July 3, 2018","University of Alabama at Birmingham, Birmingham, Alabama, United States|St. Joseph Hospital And Medical Center, Phoenix, Arizona, United States|Cedars Sinai Medical Center, Los Angeles, California, United States|UCLA Neuro-Oncology Program, Los Angeles, California, United States|Sutter Institute For Medical Research, Sacramento, California, United States|Sharp Memorial Hospital, San Diego, California, United States|The Regents of the University of California, San Francisco, San Francisco, California, United States|Yale University School Of Medicine, New Haven, Connecticut, United States|Georgetown University, Washington, District of Columbia, United States|University Of Miami Sylvester Comprehensive Cancer Center, Miami, Florida, United States|Moffitt Cancer Center, Tampa, Florida, United States|Local Institution, Chicago, Illinois, United States|University Of Kansas Medical Center, Westwood, Kansas, United States|Norton Cancer Institute, Louisville, Kentucky, United States|Johns Hopkins University School Of Medicine, Baltimore, Maryland, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Local Institution, Boston, Massachusetts, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Henry Ford Health System, Detroit, Michigan, United States|Washington University School Of Medicine, Saint Louis, Missouri, United States|JFK Medical Center, Edison, New Jersey, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Columbia University, New York, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Levine Cancer Institute, Charlotte, North Carolina, United States|Preston Robert Tisch Brain Tumor Center at Duke University, Durham, North Carolina, United States|Cleveland Clinic, Cleveland, Ohio, United States|The Ohio State University Wexner Medical Center, Columbus, Ohio, United States|Lehigh Valley Health Network, Allentown, Pennsylvania, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States|Medical University Of South Carolina, Charleston, South Carolina, United States|Erlanger Oncology & Hematology - Univ. of TN, Chattanooga, Tennessee, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|University Of Texas Southwestern Medical Center, Dallas, Texas, United States|Local Institution, Houston, Texas, United States|Huntsman Cancer Institute, Salt Lake City, Utah, United States|Swedish Neuroscience Institute, Seattle, Washington, United States|Local Institution, Liverpool, New South Wales, Australia|Royal North Shore Hospital, St. Leonards, New South Wales, Australia|Local Institution, Heidelberg, Victoria, Australia|Local Institution, Prahran, Victoria, Australia|Sir Charles Gairdner Hospital, Nedlands, Western Australia, Australia|Kepler Universitaetsklinikum, Linz, Austria|Medical University Of Vienna, Vienna, Austria|Universitair Ziekenhuis Brussel, Brussels, Belgium|Cliniques Universitaires Saint-Luc, Bruxelles, Belgium|Uz Leuven, Leuven, Belgium|British Columbia Cancer Agency-Vancouver Ctr, Vancouver, British Columbia, Canada|Princess Margaret Cancer Centre, Toronto, Ontario, Canada|Montreal Neurological Institute and Hospital, Montreal, Quebec, Canada|Local Institution, Copenhagen, Denmark|Local Institution, Odense, Denmark|Local Institution, Lille Cedex, France|Local Institution, Lyon Cedex 03, France|Local Institution, Marseille, France|Local Institution, Nancy, France|Local Institution, Paris cedex 13, France|Local Institution, Paris, France|Local Institution, Rennes Cedex, France|Local Institution, Toulouse, France|Universitaetsklinikum Bonn, Bonn, Germany|Uniklinik Erlangen, Erlangen, Germany|Klinikum Der J. W. Goethe-Universitaet Frankfurt/Main, Frankfurt Am Main, Germany|Universitaetsklinikum Freiburg, Freiburg, Germany|Universitaetsklinikum Hamburg, Hamburg, Germany|Universitaetsklinik Heidelberg, Heidelberg, Germany|Universitaetsklinik Koeln, Koeln, Germany|Universitaetsklinikum Muenster, Muenster, Germany|Klinikum rechts der Isar der Technischen Universitat Munchen, Munich, Germany|Bezirksklinikum Regensburg, Regensburg, Germany|Universitasklinikum Tubingen, Tuebingen, Germany|Local Institution, Petach Tikva, Israel|Local Institution, Tel Aviv, Israel|Local Institution, Bologna, Italy|Local Institution, Milano, Italy|Local Institution, Padova, Italy|Local Institution, Rozzano (milano), Italy|Local Institution, Siena, Italy|Local Institution, Torino, Italy|Local Institution, Nagoya-shi, Aichi, Japan|Local Institution, Chiba-shi, Chiba, Japan|Local Institution, Hiroshima-Shi, Hiroshima, Japan|Local Institution, Sapporo-shi, Hokkaido, Japan|Local Institution, Kobe-shi, Hyogo, Japan|Local Institution, Tsukuba-shi, Ibaraki, Japan|Local Institution, Kanazawa-shi, Ishikawa, Japan|Local Institution, Kagoshima-shi, Kagoshima, Japan|Local Institution, Sagamihara-shi, Kanagawa, Japan|Local Institution, Kumamoto-shi, Kumamoto, Japan|Local Institution, Kyoto-shi, Kyoto, Japan|Local Institution, Okayama-shi, Okayama, Japan|Local Institution, Hirakata-shi, Osaka, Japan|Local Institution, Suita-shi, Osaka, Japan|Local Institution, Hidaka-shi, Saitama, Japan|Local Institution, Bunkyo-ku, Tokyo, Japan|Local Institution, Chuo-ku, Tokyo, Japan|Local Institution, Mitaka-shi, Tokyo, Japan|Local Institution, Shinjuku-ku, Tokyo, Japan|Local Institution, Yamagata-shi, Yamagata, Japan|Local Institution, Kyoto, Japan|NKI AVL, Amsterdam, Netherlands|Universitair Medisch Centrum Groningen, Groningen, Netherlands|Erasmus Mc, Rotterdam, Netherlands|Universitair Medisch Centrum Utrecht, Utrecht, Netherlands|Local Institution, Oslo, Norway|Uniwersyteckie Centrum Kliniczne Klinika Onkologii I Radiote, Gdansk, Poland|Klinika Nowotworow Glowy i Szyi, Warszawa, Poland|Local Institution, Moscow, Russian Federation|Local Institution, Moscow, Russian Federation|Local Institution, Moscow, Russian Federation|Local Institution, Badalona-barcelona, Spain|Local Institution, Barcelona, Spain|Local Institution, Barcelona, Spain|Local Institution, Madrid, Spain|Local Institution, Madrid, Spain|Local Institution, Santiago Compostela, Spain|Local Institution, Valencia, Spain|Local Institution, Lund, Sweden|Local Institution, Solna, Sweden|University Hospital Geneva, Geneve, Switzerland|Centre hospitalier universitaire Vaudois (CHUV), Lausanne, Switzerland|UniversitaetsSpital Zurich, Zuerich, Switzerland|University College Hospital, London, Greater London, United Kingdom|Christie Hospital Nhs Found. Trust, Manchester, Greater Manchester, United Kingdom|Royal Marsden Hospital, Sutton, Surrey, United Kingdom|Beaston West of Scotland Cancer Centre, Glasgow, United Kingdom","","https://ClinicalTrials.gov/show/NCT02667587"
79,"NCT02392078","Laser Ablation of Abnormal Neurological Tissue Using Robotic NeuroBlate System","LAANTERN","Recruiting","No Results Available","Metastatic Brain Tumor|Primary Brain Tumor","Device: NeuroBlate System","Procedural Success|Local control Failure Rate|Quality of Life|Safety (Reportable adverse events)","Monteris Medical","All","Child, Adult, Older Adult","","1000","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","LAANTERN","October 2015","June 2020","September 2020","March 18, 2015","null","May 4, 2018","Barrow Neurological Institute at Dignity Health St. Joseph's Hospital & Medical Center, Phoenix, Arizona, United States|University of California, San Diego, La Jolla, California, United States|Yale University School of Medicine, New Haven, Connecticut, United States|Florida Hospital, Orlando, Florida, United States|University of Kansas Medical Center, Kansas City, Kansas, United States|University of Louisville, Louisville, Kentucky, United States|Washington University, Saint Louis, Missouri, United States|Ichan School of Medicine at Mount Sinai, New York, New York, United States|Weill Cornell Medicine, New York, New York, United States|SUNY Upstate Medical University, Syracuse, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Wake Forest, Winston-Salem, North Carolina, United States|University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States|Cleveland Clinic Foundation, Cleveland, Ohio, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States|MD Anderson, Houston, Texas, United States|University of British Columbia, Vancouver, British Columbia, Canada","","https://ClinicalTrials.gov/show/NCT02392078"
80,"NCT03538587","Feasibility and Preliminary Efficacy of a Mindfulness-based Intervention for Children With High Grade Brain Tumors and Their Caregivers",,"Recruiting","No Results Available","Gliomas|Glioblastomas|Astrocytoma|Brain Neoplasm|Brain Cancer","Behavioral: Enhanced Mindfulness Intervention|Behavioral: Psychoeducation","Feasibility","National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)","All","5 Years to 99 Years   (Child, Adult, Older Adult)","Not Applicable","40","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","180080|18-C-0080","July 11, 2018","April 1, 2020","April 1, 2020","May 28, 2018","null","July 6, 2018","National Institutes of Health Clinical Center, Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT03538587"
81,"NCT03163368","Dose Escalation Trial of Neoadjuvant Radiosurgery for the Treatment of Metastatic Brain Tumors",,"Recruiting","No Results Available","Brain Metastases","Radiation: Neoadjuvant stereotactic radiosurgery|Procedure: Neurosurgical resection","Maximum tolerated dose (MTD)|Adverse events|Describe preliminary rates of image-complete resection|Describe preliminary rates of local tumor control|Describe preliminary rates of intracranial control|Describe preliminary rates of progression-free survival|Describe preliminary rates of leptomeningeal spread|Describe preliminary rates of rate of salvage treatment","Cedars-Sinai Medical Center","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","25","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IIT2016-18-Shiao-NeoAdSRS","May 9, 2017","January 1, 2019","June 1, 2019","May 23, 2017","null","May 25, 2018","Cedars-Sinai Medical Center, Los Angeles, California, United States","","https://ClinicalTrials.gov/show/NCT03163368"
82,"NCT01668082","An Investigation of Brain Tumor Metabolism in Patients Undergoing Surgical Resection",,"Recruiting","No Results Available","Brain Mass","Procedure: surgical resection of a brain tumor","metabolic phenotype correlation to clinical endpoints|baseline imaging data review|molecular profiling","University of Texas Southwestern Medical Center","All","18 Years and older   (Adult, Older Adult)","Not Applicable","40","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","STU 062010-157","August 2009","February 2020","February 2022","August 17, 2012","null","February 13, 2018","University of Texas Southwestern, Dallas, Texas, United States","","https://ClinicalTrials.gov/show/NCT01668082"
